536,Iran University of Science and Technology,Iran
537,University of Kaiserslautern,Germany
538,Louisiana State University,United States of America
539,Makerere University,Uganda
540,Marche Polytechnic University,Italy
541,University of Nantes,France
542,National and Kapodistrian University of Athens,Greece
543,National Institute of Applied Sciences of Lyon (INSA Lyon),France
544,National Yang-Ming University,Taiwan
545,University of Neuchâtel,Switzerland
546,University of Nice Sophia Antipolis,France
547,The Open University,United Kingdom
548,Oxford Brookes University,United Kingdom
549,University of Palermo,Italy
550,University of Parma,Italy
551,RMIT University,Australia
552,University of Rome II – Tor Vergata,Italy
553,University of San Francisco,United States of America
554,University of Saskatchewan,Canada
555,University of Siena,Italy
556,Southern Cross University,Australia
557,Tampere University of Technology,Finland
558,University of Ulsan,South Korea
559,Ulster University,United Kingdom
560,Université du Québec à Montréal,Canada
561,Universiti Teknologi Malaysia,Malaysia
562,University of Urbino Carlo Bo,Italy
563,Xiamen University,China
564,American University of Beirut,Lebanon
565,Amirkabir University of Technology,Iran
566,University of Arkansas,United States of America
567,Babeş-Bolyai University,Romania
568,University of the Basque Country,Spain
569,Bauman Moscow State Technical University,Russian Federation
570,Ben-Gurion University of the Negev,Israel
571,Blaise Pascal University,France
572,University of Burgundy,France
573,University of Canberra,Australia
574,University of Catania,Italy
575,Central Queensland University,Australia
576,University of Chile,Chile
577,China Agricultural University,China
578,Chung-Ang University,South Korea
579,Czech Technical University in Prague,Czech Republic
580,De Montfort University,United Kingdom
581,East China Normal University,China
582,Edith Cowan University,Australia
583,Federal University of Rio de Janeiro,Brazil
584,University of Granada,Spain
585,University of Haifa,Israel
586,Huazhong University of Science and Technology,China
587,Indian Institute of Technology Guwahati,India
588,Jadavpur University,India
589,Kanazawa University,Japan
590,King Fahd University of Petroleum and Minerals,Saudi Arabia
591,University of La Laguna,Spain
592,University of Limerick,Republic of Ireland
593,Manchester Metropolitan University,United Kingdom
594,University of Maribor,Slovenia
595,Masaryk University,Czech Republic
596,Memorial University of Newfoundland,Canada
597,Missouri University of Science and Technology,United States of America
598,Montana State University,United States of America
599,Monterrey Institute of Technology and Higher Education,Mexico
600,National Taiwan Normal University,Taiwan
601,National Technical University of Athens,Greece
602,New Mexico State University,United States of America
603,University of North Carolina at Greensboro,United States of America
604,Oklahoma State University,United States of America
605,Osaka City University,Japan
606,Otto von Guericke University of Magdeburg,Germany
607,University of Oviedo,Spain
608,Palacký University in Olomouc,Czech Republic
609,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil
610,Portland State University,United States of America
611,University of Pretoria,South Africa
612,Pusan National University,South Korea
613,Quaid-i-azam University,Pakistan
614,University of Regina,Canada
615,University of Rennes 1,France
616,University of Salamanca,Spain
617,University of Santiago de Compostela,Spain
618,Semmelweis University,Hungary
619,University of Seville,Spain
620,Université de Sherbrooke,Canada
621,Soochow University,China
622,South China University of Technology,China
623,Tallinn University of Technology,Estonia
624,Tehran University of Medical Sciences,Iran
625,University of Texas at Arlington,United States of America
626,Tianjin University,China
627,University of Toledo,United States of America
628,Tongji University,China
629,University of Tulsa,United States of America
630,United Arab Emirates University,United Arab Emirates
631,University of Wisconsin-Milwaukee,United States of America
632,Xi’an Jiaotong University,China
633,University of A Coruña,Spain
634,Adam Mickiewicz University,Poland
635,AGH University of Science and Technology,Poland
636,Ajou University,South Korea
637,University of Alcalá,Spain
638,Alexandru Ioan Cuza University,Romania
639,Aligarh Muslim University,India
640,American University of Sharjah,United Arab Emirates
641,Amrita University,India
642,Anadolu University,Turkey
643,Andhra University,India
644,University of Antioquia,Colombia
645,Aristotle University of Thessaloniki,Greece
646,"Asia University, Taiwan",Taiwan
647,Athens University of Economics and Business,Greece
648,Auckland University of Technology,New Zealand
649,Austral University of Chile,Chile
650,Beijing Institute of Technology,China
651,Belarusian State University,Belarus
652,University of Belgrade,Serbia
653,"Birla Institute of Technology and Science, Pilani",India
654,University of Bradford,United Kingdom
655,University of Brasília,Brazil
656,University of Brighton,United Kingdom
657,University of Bucharest,Romania
658,Budapest University of Technology and Economics,Hungary
659,Cairo University,Egypt
660,University of Calcutta,India
661,"California State University, Long Beach",United States of America
662,Capital Medical University,China
663,University of Castilla-La Mancha,Spain
664,University of Central Lancashire,United Kingdom
665,University of Cergy-Pontoise,France
666,Chang Gung University,Taiwan
667,Carlos III University of Madrid,Spain
668,"University of Chemistry and Technology, Prague",Czech Republic
669,Chiang Mai University,Thailand
670,Chiba University,Japan
671,China University of Geosciences (Wuhan),China
672,China University of Petroleum (Beijing),China
673,Chonbuk National University,South Korea
674,Chongqing University,China
675,Chonnam National University,South Korea
676,Chulalongkorn University,Thailand
677,Chung Yuan Christian University,Taiwan
678,Chungnam National University,South Korea
679,Comenius University in Bratislava,Slovakia
680,Coventry University,United Kingdom
681,Dalian University of Technology,China
682,University of Debrecen,Hungary
683,University of Delhi,India
684,University of Dhaka,Bangladesh
685,Dublin Institute of Technology,Republic of Ireland
686,Ehime University,Japan
687,University of Electronic Science and Technology of China,China
688,Eötvös Loránd University,Hungary
689,Erciyes University,Turkey
690,Federal University of Bahia,Brazil
691,Federal University of Minas Gerais,Brazil
692,Federal University of Paraná (UFPR),Brazil
693,Federal University of Rio Grande do Sul,Brazil
694,Federal University of Santa Catarina,Brazil
695,Federal University of São Carlos,Brazil
696,Federal University of Viçosa,Brazil
697,Federal University of Lavras,Brazil
698,Feng Chia University,Taiwan
699,Fu Jen Catholic University,Taiwan
700,Gdańsk University of Technology,Poland
701,University of Ghana,Ghana
702,Gifu University,Japan
703,Glasgow Caledonian University,United Kingdom
704,University of Greenwich,United Kingdom
705,Hacettepe University,Turkey
706,University of Huddersfield,United Kingdom
707,Hunan University,China
708,University of Ibadan,Nigeria
709,University of Indonesia,Indonesia
710,Inha University,South Korea
711,I-Shou University,Taiwan
712,Istanbul University,Turkey
713,Jilin University,China
714,University of Jordan,Jordan
715,Jordan University of Science and Technology,Jordan
716,Juntendo University,Japan
717,K.N. Toosi University of Technology,Iran
718,Kaohsiung Medical University,Taiwan
719,Khon Kaen University,Thailand
720,Kingston University,United Kingdom
721,Kinki University,Japan
722,Konkuk University,South Korea
723,Kumamoto University,Japan
724,Kyungpook National University,South Korea
725,Kyushu Institute of Technology,Japan
726,University of Latvia,Latvia
727,Lille 1 University – Science and Technology,France
728,University of Lincoln,United Kingdom
729,University of Ljubljana,Slovenia
730,Miami University,United States of America
731,Middlesex University,United Kingdom
732,Moscow Institute of Physics and Technology,Russian Federation
733,University of Murcia,Spain
734,Nagasaki University,Japan
735,University of Nairobi,Kenya
736,National Chengchi University,Taiwan
737,National Chung Cheng University,Taiwan
738,National Chung Hsing University,Taiwan
739,National Taipei University of Technology,Taiwan
740,National University of Córdoba,Argentina
741,National University of Science and Technology (MISiS),Russian Federation
742,National University of Sciences and Technology,Pakistan
743,Niigata University,Japan
744,Northumbria University,United Kingdom
745,Northwestern Polytechnical University,China
746,Nottingham Trent University,United Kingdom
747,Oakland University,United States of America
748,Ocean University of China,China
749,Ohio University,United States of America
750,Okayama University,Japan
751,Osaka Prefecture University,Japan
752,University of Pardubice,Czech Republic
753,Paris-Sorbonne University – Paris 4,France
754,University of Patras,Greece
755,University of Pécs,Hungary
756,Pontifical Catholic University of Paraná,Brazil
757,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil
758,Pontifical Catholic University of Valparaíso,Chile
759,Prince of Songkla University,Thailand
760,Qatar University,Qatar
761,Rio de Janeiro State University (UERJ),Brazil
762,Rochester Institute of Technology,United States of America
763,Saitama University,Japan
764,University of Salford,United Kingdom
765,"University of Santiago, Chile (USACH)",Chile
766,São Paulo State University (UNESP),Brazil
767,Savitribai Phule Pune University,India
768,University of Science and Technology Beijing,China
769,Sejong University,South Korea
770,Shahid Beheshti University,Iran
771,Shanghai University,China
772,Shantou University,China
773,Sheffield Hallam University,United Kingdom
774,Shinshu University,Japan
775,Showa University,Japan
776,Sichuan University,China
777,University of Silesia in Katowice,Poland
778,Slovak University of Technology in Bratislava,Slovakia
779,Sogang University,South Korea
780,Sophia University,Japan
781,University of South Africa,South Africa
782,Southern Federal University,Russian Federation
783,University of Southern Mississippi,United States of America
784,University of Southern Queensland,Australia
785,Suez Canal University,Egypt
786,Sultan Qaboos University,Oman
787,Suranaree University of Technology,Thailand
788,University of Szeged,Hungary
789,Taipei Medical University,Taiwan
790,Taras Shevchenko National University of Kyiv,Ukraine
791,Technical University of Madrid,Spain
792,University of Tehran,Iran
793,University of Texas at El Paso,United States of America
794,Texas Tech University,United States of America
795,Tokai University,Japan
796,Tokushima University,Japan
797,Tokyo University of Marine Science and Technology,Japan
798,Tokyo University of Science,Japan
799,Tomsk State University,Russian Federation
800,Tottori University,Japan
801,Toyohashi University of Technology,Japan
802,Universiti Kebangsaan Malaysia,Malaysia
803,Universiti Putra Malaysia,Malaysia
804,Universiti Sains Malaysia,Malaysia
805,Universiti Teknologi MARA,Malaysia
806,Ural Federal University,Russian Federation
807,V.N. Karazin Kharkiv National University,Ukraine
808,Vilnius University,Lithuania
809,Warsaw University of Technology,Poland
810,University of West Bohemia,Czech Republic
811,University of the West of England,United Kingdom
812,West University of Timişoara,Romania
813,University of Westminster,United Kingdom
814,Xidian University,China
815,Yeungnam University,South Korea
816,Yıldız Technical University,Turkey
817,Yokohama City University,Japan
818,Yokohama National University,Japan
